Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Spain,ESP,GNI (current US$),NY.GNP.MKTP.CD,42851335391.5394,49118281898.0386,57310718025.3517,67733476839.579,75665046354.4822,87907890761.9825,101574722616.213,111906763432.015,111239945958.803,127163450421.67,40471022106.0138,46106900598.8024,58555487962.7233,78071719017.7042,96948485722.5267,113934171014.493,117234501367.819,130823347207.01,158522927517.361,212392352503.718,229755263402.181,199125227969.003,192294673633.197,167322796983.759,168552857586.421,178339212328.767,248144330521.564,314786221533.486,370872708184.545,410262872803.935,530515703558.603,570816810248.198,623343892410.206,520853333769.12,519422964849.087,609570971443.822,633528195192.434,583087704545.455,611311425548.502,629140626498.843,594084216555.295,619140631735.828,700728756159.217,900043963152.155,1059088286010.81,1137786490870.04,1237088785672.94,1437831552930.98,1586564225114.84,1462916148401.17,1401381945416.67,1454580711702.34,1314155086548.05,1346529739593.34,1366800133424.7,1195894016724.61,1236606698893.78,1313739000871.77,1423751671292.55,1396786257474.51,1281402401923.74,1456884138329.43,1424534712303.51,1569857957741.51
Spain,ESP,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13520,14300,14680,14850,15260,16140,16730,17700,18850,19770,21430,22640,24100,24840,25900,27230,30150,31680,32340,31480,31220,31310,31470,32230,33420,34910,37400,39570,40780,43820,39070,43960,48920,52420
Spain,ESP,"Population, total",SP.POP.TOTL,30455000,30739250,31023366,31296651,31609195,31954292,32283194,32682947,33113134,33441054,33814531,34224490,34604469,34988947,35373335,35757900,36137812,36511638,36864898,37191330,37491165,37758631,37986012,38171525,38330364,38469512,38584624,38684815,38766939,38827764,38867322,38966376,39157685,39361262,39549108,39724050,39889852,40057389,40223509,40386875,40567864,40850412,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46480882,46444832,46484062,46593236,46797754,47134837,47365655,47415794,47778340,48373336
Sri Lanka,LKA,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..,20.3380412072807,24.1053632416627,23.5687972455562,24.0841227416587,24.2623101024114,24.2731036694864,30.8116211932695,32.3978131411121,55.239802911351,46.5153793025855,45.4625321322802,51.047289679767,54.6315804676555,56.2141476039222,51.071026016184,59.5398711145299,64.0703235761263,71.4561180589801,74.8384075361474,74.760172800078,73.5872565959264,73.7268450236287,66.8956678114915,66.7574792822412,68.3569867524136,65.2863193370948,60.566993976522,54.3409428816746,58.2638122368145,64.6786441247241,57.7533288076129,57.8751303065509,62.1603882135227,57.3262074199874,56.7045793171603,46.8753052051031,42.4995102864864,44.2579988597844,41.0645558757827,46.9067288289757,37.3743097647659,38.4422070940857,51.6165842309571,52.2460698194971,52.3569495488718,52.8465983462273,54.3734675714212,55.1430107386719,57.4615630242133,64.8419711585215,69.2231690220225,67.8533260941377,80.9951759814601,..
Sri Lanka,LKA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,435678442.4,520236827.6,554360219.3,631606118.9,783763828,817840849.6,941714519.8,1141630267.8,1381702821.7,1562193769.5,1849029664.4,2241837854.3,2632029310.2,2890238573.3,2998355044.3,3544639145.8,4086689689.8,4754428931.3,5209633062.8,5185722277.5,5867509111.8,6580740209.6,6476089777.8,6902629411,7960615109.6,8395502196.9,8298763054.9,8106316372.4,9057333356.1,9943050525,9249848286.4,8952124828.1,10122942033.8,10725993550,11600420988.8,11300134209.5,11853449200.4,14161321567.6,16320821885.1,19504201128,21684210688.5,25795379781.1,35735908567.5,39314598514.4,42262761571.6,43925393891.1,46661458616.2,50765545978.7,52919692662.2,56117855647,56874445630.2,58732518598.1,58712654400.9,..
Sri Lanka,LKA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,4.86110583679761,5.95237000495237,5.95237000495237,5.95237000495237,5.93494862096378,5.97031718187335,6.402499999,6.650749999,7.00716666566667,8.41199999908333,8.87283333266667,15.61066666575,15.5718333325833,16.5344166661667,19.2457499991667,20.812249999,23.5285833324167,25.4381666660833,27.162583333,28.01733333325,29.44475,31.80675,36.0470833333333,40.0629166666667,41.3715,43.829625,48.3221675,49.4151416666667,51.2515891666667,55.2714441666667,58.994605,64.4501183333333,70.63545,77.0051166666667,89.3830133333333,95.662065,96.5209508333333,101.1944575,100.498051666667,103.914445833333,110.623233333333,108.333762719298,114.944783333333,113.064480448821,110.565207851396,127.60335350681,129.069030932888,130.564685218829,135.856912797089,145.581667492026,152.446413948767,162.464858736778,178.744925045848,185.592557772213,198.764316844656,..,..
Sri Lanka,LKA,GNI (current US$),NY.GNP.MKTP.CD,1406432689.07563,1407026659.66387,1438767407.40741,1223818201.68067,1306652050.42017,1683403361.34454,1750630252.10084,1855555555.55556,1771260504.20168,1953613445.37815,2142184873.94958,2158178752.10793,2352093802.34506,2622500000,3230375939.84962,3369329529.24394,3056361474.4352,3523788049.60541,2501281229.98078,3358445728.96596,4067150635.20871,4391688311.68831,4817779913.50312,5141478963.02592,5870951257.86164,5953387334.31517,6378443968.59386,6653634510.86957,6961175730.90223,6936477115.11789,7973539690.4643,8925839980.66232,9680880675.33653,10339859271.5232,11645649534.6014,12859512195.122,13701791206.803,14917511442.6174,15545384018.6191,15373003963.7599,16016130112.9723,15467999433.7511,16285197574.7439,18710453791.9602,20457644035.9719,24106796019.9005,27890790083.219,31997202612.9448,39744303906.4377,41580817112.8567,58019026505.0527,67101713795.8986,69233385160.8634,75248910875.4524,80720442913.0281,83118677957.8894,85816595299.7365,92061614515.9046,92095811316.3413,86545573251.9399,82024773617.0515,86619332546.1363,72199977445.7357,81623429815.1851
Sri Lanka,LKA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2390,2550,2700,2930,3110,3300,3460,3730,3910,4100,4420,4420,4630,4970,5330,5770,6340,6900,7290,7600,8230,9050,10150,10710,11210,11730,12620,13240,13820,13720,12590,13990,13810,13990
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,9783871,10022888,10267067,10517531,10774086,11035224,11299721,11571008,11846815,12119207,12388769,12654651,12914457,13169737,13418276,13662873,13910170,14159052,14414816,14680387,14943645,15198918,15438753,15658442,15872577,16092338,16317995,16547139,16773736,16990575,17204094,17416596,17624457,17825611,18011744,18177572,18322506,18449123,18560798,18670411,18776371,18920275,19110707,19303180,19490431,19673866,19870706,20078655,20285643,20482477,20668557,20859743,21017147,21131756,21239457,21336697,21425494,21506813,21670000,21803000,21919000,22156000,22181000,22037000
St. Kitts and Nevis,KNA,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
